from;to;weight
0001;0169;1
0001;0170;1
0001;0171;1
0001;0077;1
0001;0033;1
0001;0172;1
0001;0173;1
0001;0174;1
0001;0175;1
0001;0082;1
0001;0176;1
0001;0177;1
0001;0178;1
0001;0179;1
0001;0180;1
0001;0076;1
0001;0180;1
0001;0068;1
0001;0181;1
0001;0081;1
0001;0072;1
0001;0073;1
0083;0001;2
0182;0001;2
0183;0001;2
0184;0001;2
0185;0001;2
0186;0001;2
0187;0001;2
0188;0001;2
0189;0001;2
0190;0001;2
0191;0001;2
0002;0194;3
0003;0002;3
0003;0085;2
0004;0002;3
0004;0086;2
0005;0002;3
0005;0087;2
0006;0002;3
0007;0002;3
